"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1","1","1","1.0"
"2","Saquon Barkley","PHI","9","RB1","2","2","4","2.7"
"3","Bijan Robinson","ATL","5","RB2","3","3","2","2.7"
"4","Jahmyr Gibbs","DET","8","RB3","4","5","3","4.0"
"5","Justin Jefferson","MIN","6","WR2","5","4","6","5.0"
"6","CeeDee Lamb","DAL","10","WR3","6","6","5","5.7"
"7","Derrick Henry","BAL","7","RB4","7","7","13","9.0"
"8","Christian McCaffrey","SF","14","RB5","8","12","7","9.0"
"9","Amon-Ra St. Brown","DET","8","WR4","10","8","10","9.3"
"10","Ashton Jeanty","LV","8","RB6","11","10","8","9.7"
"11","Puka Nacua","LAR","8","WR5","12","9","11","10.7"
"12","Malik Nabers","NYG","14","WR6","13","11","9","11.0"
"13","Nico Collins","HOU","6","WR7","9","13","15","12.3"
"14","De'Von Achane","MIA","12","RB7","15","14","12","13.7"
"15","Brian Thomas Jr.","JAC","8","WR8","14","15","14","14.3"
"16","Josh Jacobs","GB","5","RB8","16","19","16","17.0"
"17","Brock Bowers","LV","8","TE1","19","16","19","18.0"
"18","Drake London","ATL","5","WR9","18","18","20","18.7"
"19","Bucky Irving","TB","9","RB9","20","20","18","19.3"
"20","Jonathan Taylor","IND","11","RB10","17","21","21","19.7"
"21","A.J. Brown","PHI","9","WR10","23","17","25","21.7"
"22","Lamar Jackson","BAL","7","QB1","21","24","22","22.3"
"23","Josh Allen","BUF","7","QB2","22","22","23","22.3"
"24","Chase Brown","CIN","10","RB11","26","27","17","23.3"
"25","Kyren Williams","LAR","8","RB12","25","26","24","25.0"
"26","Ladd McConkey","LAC","12","WR11","24","23","29","25.3"
"27","Trey McBride","ARI","8","TE2","27","25","27","26.3"
"28","Tyreek Hill","MIA","12","WR12","34","29","26","29.7"
"29","Jayden Daniels","WAS","12","QB3","28","31","30","29.7"
"30","Jaxon Smith-Njigba","SEA","8","WR13","32","28","35","31.7"
"31","Tee Higgins","CIN","10","WR14","29","30","36","31.7"
"32","James Cook","BUF","7","RB13","30","33","33","32.0"
"33","Breece Hall","NYJ","9","RB14","37","32","28","32.3"
"34","Garrett Wilson","NYJ","9","WR15","36","34","37","35.7"
"35","George Kittle","SF","14","TE3","31","37","41","36.3"
"36","Omarion Hampton","LAC","12","RB15","44","38","31","37.7"
"37","Joe Burrow","CIN","10","QB4","39","42","32","37.7"
"38","Jalen Hurts","PHI","9","QB5","33","40","40","37.7"
"39","Mike Evans","TB","9","WR16","35","35","47","39.0"
"40","Marvin Harrison Jr.","ARI","8","WR17","40","36","43","39.7"
"41","Alvin Kamara","NO","11","RB16","45","41","34","40.0"
"42","Davante Adams","LAR","8","WR18","38","43","39","40.0"
"43","Kenneth Walker III","SEA","8","RB17","43","45","38","42.0"
"44","Chuba Hubbard","CAR","14","RB18","41","44","42","42.3"
"45","Terry McLaurin","WAS","12","WR19","42","39","48","43.0"
"46","DJ Moore","CHI","5","WR20","51","47","45","47.7"
"47","James Conner","ARI","8","RB19","46","49","49","48.0"
"48","DK Metcalf","PIT","5","WR21","48","48","51","49.0"
"49","Courtland Sutton","DEN","12","WR22","54","50","50","51.3"
"50","Rashee Rice","KC","10","WR23","55","46","56","52.3"
"51","Sam LaPorta","DET","8","TE4","47","51","62","53.3"
"52","David Montgomery","DET","8","RB20","50","53","58","53.7"
"53","DeVonta Smith","PHI","9","WR24","52","54","55","53.7"
"54","Patrick Mahomes II","KC","10","QB6","49","60","54","54.3"
"55","RJ Harvey","DEN","12","RB21","57","57","52","55.3"
"56","TreVeyon Henderson","NE","14","RB22","73","61","44","59.3"
"57","Xavier Worthy","KC","10","WR25","60","56","65","60.3"
"58","Zay Flowers","BAL","7","WR26","56","55","71","60.7"
"59","D'Andre Swift","CHI","5","RB23","69","68","46","61.0"
"60","Joe Mixon","HOU","6","RB24","63","52","70","61.7"
"61","Tetairoa McMillan","CAR","14","WR27","77","59","53","63.0"
"62","Isiah Pacheco","KC","10","RB25","64","62","63","63.0"
"63","T.J. Hockenson","MIN","6","TE5","53","63","75","63.7"
"64","Travis Kelce","KC","10","TE6","58","69","64","63.7"
"65","Jameson Williams","DET","8","WR28","67","58","66","63.7"
"66","Tony Pollard","TEN","10","RB26","62","73","61","65.3"
"67","Aaron Jones Sr.","MIN","6","RB27","71","66","60","65.7"
"68","George Pickens","DAL","10","WR29","65","64","69","66.0"
"69","Baker Mayfield","TB","9","QB7","61","72","68","67.0"
"70","Kaleb Johnson","PIT","5","RB28","66","77","59","67.3"
"71","Calvin Ridley","TEN","10","WR30","75","75","57","69.0"
"72","Travis Hunter","JAC","8","WR31","70","65","72","69.0"
"73","Jaylen Waddle","MIA","12","WR32","72","67","77","72.0"
"74","Bo Nix","DEN","12","QB8","68","80","73","73.7"
"75","Mark Andrews","BAL","7","TE7","59","78","90","75.7"
"76","Chris Olave","NO","11","WR33","81","70","76","75.7"
"77","Jerry Jeudy","CLE","9","WR34","87","74","67","76.0"
"78","Tyrone Tracy Jr.","NYG","14","RB29","86","82","74","80.7"
"79","Brian Robinson Jr.","WAS","12","RB30","82","81","80","81.0"
"80","Rome Odunze","CHI","5","WR35","85","79","83","82.3"
"81","Jordan Addison","MIN","6","WR36","90","76","87","84.3"
"82","Jaylen Warren","PIT","5","RB31","89","86","78","84.3"
"83","Chris Godwin","TB","9","WR37","88","83","82","84.3"
"84","Evan Engram","DEN","12","TE8","83","90","86","86.3"
"85","Deebo Samuel Sr.","WAS","12","WR38","100","85","79","88.0"
"86","Kyler Murray","ARI","8","QB9","91","92","88","90.3"
"87","Stefon Diggs","NE","14","WR39","102","91","81","91.3"
"88","David Njoku","CLE","9","TE9","76","93","108","92.3"
"89","Quinshon Judkins","CLE","9","RB32","101","71","112","94.7"
"90","Jakobi Meyers","LV","8","WR40","105","84","95","94.7"
"91","Travis Etienne Jr.","JAC","8","RB33","108","88","89","95.0"
"92","Cooper Kupp","SEA","8","WR41","113","89","84","95.3"
"93","Jordan Mason","MIN","6","RB34","96","107","91","98.0"
"94","Ricky Pearsall","SF","14","WR42","107","94","97","99.3"
"95","Jauan Jennings","SF","14","WR43","104","100","94","99.3"
"96","Jared Goff","DET","8","QB10","99","99","100","99.3"
"97","Brock Purdy","SF","14","QB11","74","112","114","100.0"
"98","Jayden Reed","GB","5","WR44","98","96","113","102.3"
"99","Dak Prescott","DAL","10","QB12","95","121","92","102.7"
"100","Matthew Golden","GB","5","WR45","130","95","85","103.3"
"101","Justin Fields","NYJ","9","QB13","78","127","106","103.7"
"102","Cam Skattebo","NYG","14","RB35","114","101","101","105.3"
"103","Khalil Shakir","BUF","7","WR46","128","87","105","106.7"
"104","Emeka Egbuka","TB","9","WR47","110","109","102","107.0"
"105","Tucker Kraft","GB","5","TE10","94","111","117","107.3"
"106","Zach Charbonnet","SEA","8","RB36","118","106","99","107.7"
"107","J.K. Dobbins","DEN","12","RB37","112","117","96","108.3"
"108","Justin Herbert","LAC","12","QB14","103","110","115","109.3"
"109","Caleb Williams","CHI","5","QB15","109","122","98","109.7"
"110","Rhamondre Stevenson","NE","14","RB38","117","108","110","111.7"
"111","Tyler Warren","IND","11","TE11","129","97","111","112.3"
"112","Javonte Williams","DAL","10","RB39","142","103","93","112.7"
"113","Najee Harris","LAC","12","RB40","123","102","120","115.0"
"114","Tank Bigsby","JAC","8","RB41","126","123","103","117.3"
"115","Josh Downs","IND","11","WR48","135","104","119","119.3"
"116","Colston Loveland","CHI","5","TE12","141","115","104","120.0"
"117","Jonnu Smith","PIT","5","TE13","125","98","140","121.0"
"118","Jake Ferguson","DAL","10","TE14","124","125","123","124.0"
"119","Drake Maye","NE","14","QB16","120","132","121","124.3"
"120","Dalton Kincaid","BUF","7","TE15","116","118","143","125.7"
"121","Jordan Love","GB","5","QB17","121","130","138","129.7"
"122","Brandon Aiyuk","SF","14","WR49","151","105","134","130.0"
"123","Denver Broncos","DST","12","DST1","80","149","163","130.7"
"124","Brandon Aubrey","DAL","10","K1","84","158","151","131.0"
"125","Philadelphia Eagles","DST","9","DST2","79","146","170","131.7"
"126","C.J. Stroud","HOU","6","QB18","131","131","133","131.7"
"127","Tyjae Spears","TEN","10","RB42","171","119","107","132.3"
"128","Dallas Goedert","PHI","9","TE16","119","129","152","133.3"
"129","Michael Pittman Jr.","IND","11","WR50","170","114","118","134.0"
"130","Kyle Pitts Sr.","ATL","5","TE17","143","124","137","134.7"
"131","Jaydon Blue","DAL","10","RB43","163","134","109","135.3"
"132","J.J. McCarthy","MIN","6","QB19","137","139","131","135.7"
"133","Keon Coleman","BUF","7","WR51","165","120","127","137.3"
"134","Rachaad White","TB","9","RB44","172","128","122","140.7"
"135","Austin Ekeler","WAS","12","RB45","161","137","124","140.7"
"136","Nick Chubb","HOU","6","RB46","145","148","132","141.7"
"137","Cameron Dicker","LAC","12","K2","97","160","173","143.3"
"138","Pittsburgh Steelers","DST","5","DST3","92","156","183","143.7"
"139","Isaac Guerendo","SF","14","RB47","160","143","130","144.3"
"140","Jerome Ford","CLE","9","RB48","175","147","116","146.0"
"141","Jayden Higgins","HOU","6","WR52","201","116","128","148.3"
"142","Luther Burden III","CHI","5","WR53","162","136","148","148.7"
"143","Ray Davis","BUF","7","RB49","177","141","129","149.0"
"144","Darnell Mooney","ATL","5","WR54","200","113","135","149.3"
"145","Trey Benson","ARI","8","RB50","184","142","125","150.3"
"146","Jake Bates","DET","8","K3","106","161","186","151.0"
"147","Rico Dowdle","CAR","14","RB51","166","140","147","151.0"
"148","Braelon Allen","NYJ","9","RB52","173","157","126","152.0"
"149","Cameron Ward","TEN","10","QB20","140","155","167","154.0"
"150","Hunter Henry","NE","14","TE18","147","167","150","154.7"
"151","Baltimore Ravens","DST","7","DST4","93","182","191","155.3"
"152","Tua Tagovailoa","MIA","12","QB21","148","178","141","155.7"
"153","Minnesota Vikings","DST","6","DST5","111","162","198","157.0"
"154","Rashid Shaheed","NO","11","WR55","191","126","154","157.0"
"155","Bhayshul Tuten","JAC","8","RB53","182","144","146","157.3"
"156","Marvin Mims Jr.","DEN","12","WR56","202","135","136","157.7"
"157","Tre' Harris","LAC","12","WR57","189","133","153","158.3"
"158","Michael Penix Jr.","ATL","5","QB22","144","175","159","159.3"
"159","Keenan Allen","LAC","12","WR58","164","173","142","159.7"
"160","Dylan Sampson","CLE","9","RB54","169","170","144","161.0"
"161","Christian Kirk","HOU","6","WR59","196","138","157","163.7"
"162","Tyler Allgeier","ATL","5","RB55","193","153","145","163.7"
"163","Zach Ertz","WAS","12","TE19","180","151","160","163.7"
"164","DeAndre Hopkins","BAL","7","WR60","146","190","156","164.0"
"165","Ka'imi Fairbairn","HOU","6","K4","134","165","196","165.0"
"166","Trevor Lawrence","JAC","8","QB23","188","168","139","165.0"
"167","Marquise Brown","KC","10","WR61","168","171","158","165.7"
"168","Jalen McMillan","TB","9","WR62","157","154","187","166.0"
"169","Jack Bech","LV","8","WR63","176","169","161","168.7"
"170","Houston Texans","DST","6","DST6","133","193","184","170.0"
"171","Bryce Young","CAR","14","QB24","154","201","155","170.0"
"172","Jaylen Wright","MIA","12","RB56","185","177","149","170.3"
"173","Chris Boswell","PIT","5","K5","127","163","222","170.7"
"174","Rashod Bateman","BAL","7","WR64","179","145","188","170.7"
"175","Geno Smith","LV","8","QB25","138","212","166","172.0"
"176","Matthew Stafford","LAR","8","QB26","150","202","169","173.7"
"177","Kyle Williams","NE","14","WR65","174","150","197","173.7"
"178","Adam Thielen","CAR","14","WR66","156","172","194","174.0"
"179","Kansas City Chiefs","DST","10","DST7","115","194","215","174.7"
"180","Sam Darnold","SEA","8","QB27","139","217","168","174.7"
"181","Kareem Hunt","KC","10","RB57","149","204","175","176.0"
"182","Aaron Rodgers","PIT","5","QB28","132","221","177","176.7"
"183","Anthony Richardson Sr.","IND","11","QB29","153","210","181","181.3"
"184","Cade Otton","TB","9","TE20","155","211","178","181.3"
"185","Detroit Lions","DST","8","DST8","136","191","225","184.0"
"186","Isaiah Likely","BAL","7","TE21","190","174","189","184.3"
"187","Harrison Butker","KC","10","K6","181","166","214","187.0"
"188","Elijah Arroyo","SEA","8","TE22","159","206","202","189.0"
"189","Brenton Strange","JAC","8","TE23","205","200","162","189.0"
"190","Shedeur Sanders","CLE","9","QB30","122","222","226","190.0"
"191","Blake Corum","LAR","8","RB58","158","189","223","190.0"
"192","Buffalo Bills","DST","7","DST9","167","234","171","190.7"
"193","Chase McLaughlin","TB","9","K7","212","164","204","193.3"
"194","Chig Okonkwo","TEN","10","TE24","187","215","182","194.7"
"195","Mike Gesicki","CIN","10","TE25","183","183","221","195.7"
"196","Pat Freiermuth","PIT","5","TE26","178","181","232","197.0"
"197","San Francisco 49ers","DST","14","DST10","195","159","240","198.0"
"198","Darren Waller","MIA","12","TE27","203","198","220","207.0"
"199","Washington Commanders","DST","12","DST11","213","152","262","209.0"
"200","Cam Little","JAC","8","K8","152","244","254","216.7"
"201","Wil Lutz","DEN","12","K9","198","249","205","217.3"
"202","Cedric Tillman","CLE","9","WR67","","176","174","175.0"
"203","Xavier Legette","CAR","14","WR68","","180","172","176.0"
"204","Tyler Bass","BUF","7","K10","219","197","245","220.3"
"205","Evan McPherson","CIN","10","K11","206","196","261","221.0"
"206","Younghoe Koo","ATL","5","K12","207","192","269","222.7"
"207","Tampa Bay Buccaneers","DST","9","DST12","194","187","289","223.3"
"208","Tyler Loop","BAL","7","K13","217","195","265","225.7"
"209","Justice Hill","BAL","7","RB59","","213","165","189.0"
"210","Joshua Palmer","BUF","7","WR69","","179","199","189.0"
"211","DeMario Douglas","NE","14","WR70","","203","176","189.5"
"212","Kyle Monangai","CHI","5","RB60","","216","164","190.0"
"213","Mason Taylor","NYJ","9","TE28","","185","195","190.0"
"214","Wan'Dale Robinson","NYG","14","WR71","","205","180","192.5"
"215","Roschon Johnson","CHI","5","RB61","","184","201","192.5"
"216","New York Giants","DST","14","DST13","210","239","243","230.7"
"217","Jake Elliott","PHI","9","K14","214","250","228","230.7"
"218","Woody Marks","HOU","6","RB62","","209","179","194.0"
"219","Los Angeles Rams","DST","8","DST14","224","251","227","234.0"
"220","Romeo Doubs","GB","5","WR72","","207","192","199.5"
"221","Quentin Johnston","LAC","12","WR73","","188","218","203.0"
"222","Miles Sanders","DAL","10","RB63","","208","203","205.5"
"223","Green Bay Packers","DST","5","DST15","222","245","249","238.7"
"224","Seattle Seahawks","DST","8","DST16","226","186","327","246.3"
"225","Dont'e Thornton Jr.","LV","8","WR74","","199","219","209.0"
"226","Jarquez Hunter","LAR","8","RB64","","232","190","211.0"
"227","Brandon McManus","GB","5","K15","192","","230","211.0"
"228","Dallas Cowboys","DST","10","DST17","211","281","237","243.0"
"229","Will Shipley","PHI","9","RB65","","218","209","213.5"
"230","DJ Giddens","IND","11","RB66","","225","206","215.5"
"231","Jason Sanders","MIA","12","K16","223","282","231","245.3"
"232","Dalton Schultz","HOU","6","TE29","","224","208","216.0"
"233","New England Patriots","DST","14","DST18","204","242","292","246.0"
"234","Jacory Croskey-Merritt","WAS","12","RB67","","252","185","218.5"
"235","Brashard Smith","KC","10","RB68","","214","224","219.0"
"236","Chicago Bears","DST","5","DST19","186","","253","219.5"
"237","Alec Pierce","IND","11","WR75","","223","217","220.0"
"238","New York Jets","DST","9","DST20","225","238","286","249.7"
"239","Miami Dolphins","DST","12","DST21","199","246","","222.5"
"240","MarShawn Lloyd","GB","5","RB69","","229","216","222.5"
"241","Tahj Brooks","CIN","10","RB70","","253","200","226.5"
"242","Russell Wilson","NYG","14","QB31","","262","193","227.5"
"243","Daniel Carlson","LV","8","K17","218","247","297","254.0"
"244","Matt Gay","WAS","12","K18","220","279","263","254.0"
"245","Pat Bryant","DEN","12","WR76","","220","244","232.0"
"246","Keaton Mitchell","BAL","7","RB71","","255","213","234.0"
"247","Arizona Cardinals","DST","8","DST22","221","","247","234.0"
"248","Jalen Royals","KC","10","WR77","","227","246","236.5"
"249","Ja'Tavion Sanders","CAR","14","TE30","","240","234","237.0"
"250","Tyler Shough","NO","11","QB32","","268","207","237.5"
"251","Daniel Jones","IND","11","QB33","","271","210","240.5"
"252","Cincinnati Bengals","DST","10","DST23","209","","278","243.5"
"253","Joe Flacco","CLE","9","QB34","","285","211","248.0"
"254","Will Reichard","MIN","6","K19","216","280","309","268.3"
"255","Elijah Mitchell","KC","10","RB72","","286","212","249.0"
"256","Jaxson Dart","NYG","14","QB35","","260","238","249.0"
"257","Cole Kmet","CHI","5","TE31","","243","259","251.0"
"258","Jake Moody","SF","14","K20","197","","317","257.0"
"259","Raheem Mostert","LV","8","RB73","","264","239","251.5"
"260","Jaylin Noel","HOU","6","WR78","","235","270","252.5"
"261","Devin Neal","NO","11","RB74","","228","284","256.0"
"262","Michael Wilson","ARI","8","WR79","","231","281","256.0"
"263","Darius Slayton","NYG","14","WR80","","266","248","257.0"
"264","Terrance Ferguson","LAR","8","TE32","","233","283","258.0"
"265","Dyami Brown","JAC","8","WR81","","258","258","258.0"
"266","Joshua Karty","LAR","8","K21","215","","304","259.5"
"267","Isaac TeSlaa","DET","8","WR82","","254","266","260.0"
"268","Los Angeles Chargers","DST","12","DST24","","248","276","262.0"
"269","Elic Ayomanor","TEN","10","WR83","","219","307","263.0"
"270","Juwan Johnson","NO","11","TE33","","270","257","263.5"
"271","Ollie Gordon II","MIA","12","RB75","","267","260","263.5"
"272","Tyler Lockett","TEN","10","WR84","","226","303","264.5"
"273","Cleveland Browns","DST","9","DST25","227","","311","269.0"
"274","Antonio Gibson","NE","14","RB76","","","229","229.0"
"275","Jordan James","SF","14","RB77","","237","298","267.5"
"276","Amari Cooper","","","WR85","","230","316","273.0"
"277","A.J. Dillon","PHI","9","RB78","","","233","233.0"
"278","Tory Horton","SEA","8","WR86","","256","282","269.0"
"279","Kirk Cousins","ATL","5","QB36","","","235","235.0"
"280","Tennessee Titans","DST","10","DST26","","236","","236.0"
"281","Ray-Ray McCloud III","ATL","5","WR87","","","236","236.0"
"282","Kendre Miller","NO","11","RB79","","263","279","271.0"
"283","Zack Moss","","","RB80","","","241","241.0"
"284","Adonai Mitchell","IND","11","WR88","","241","312","276.5"
"285","Spencer Rattler","NO","11","QB37","","","242","242.0"
"286","Trevor Etienne","CAR","14","RB81","","276","271","273.5"
"287","Calvin Austin III","PIT","5","WR89","","261","288","274.5"
"288","Sean Tucker","TB","9","RB82","","","250","250.0"
"289","Audric Estime","DEN","12","RB83","","","251","251.0"
"290","Jimmy Garoppolo","LAR","8","QB38","","","252","252.0"
"291","Theo Johnson","NYG","14","TE34","","265","293","279.0"
"292","Jalen Nailor","MIN","6","WR90","","283","275","279.0"
"293","Andrei Iosivas","CIN","10","WR91","","257","302","279.5"
"294","Troy Franklin","DEN","12","WR92","","291","268","279.5"
"295","Efton Chism III","NE","14","WR93","","","255","255.0"
"296","Jalen Coker","CAR","14","WR94","","259","301","280.0"
"297","Jaleel McLaughlin","DEN","12","RB84","","275","287","281.0"
"298","Jalen Milroe","SEA","8","QB39","","292","273","282.5"
"299","Tyler Higbee","LAR","8","TE35","","294","272","283.0"
"300","Tyler Conklin","LAC","12","TE36","","301","267","284.0"
"301","Noah Gray","KC","10","TE37","","272","296","284.0"
"302","Ty Johnson","BUF","7","RB85","","","264","264.0"
"303","Harold Fannin Jr.","CLE","9","TE38","","269","300","284.5"
"304","Kayshon Boutte","NE","14","WR95","","293","277","285.0"
"305","Roman Wilson","PIT","5","WR96","","273","314","293.5"
"306","Luke McCaffrey","WAS","12","WR97","","","274","274.0"
"307","Dontayvion Wicks","GB","5","WR98","","274","310","292.0"
"308","Devin Singletary","NYG","14","RB86","","302","280","291.0"
"309","Diontae Johnson","CLE","9","WR99","","277","319","298.0"
"310","Xavier Restrepo","TEN","10","WR100","","278","","278.0"
"311","Indianapolis Colts","DST","11","DST27","","284","","284.0"
"312","Tre Tucker","LV","8","WR101","","","285","285.0"
"313","Las Vegas Raiders","DST","8","DST28","","287","","287.0"
"314","Oronde Gadsden II","LAC","12","TE39","","288","320","304.0"
"315","Jacksonville Jaguars","DST","8","DST29","","289","","289.0"
"316","New Orleans Saints","DST","11","DST30","","290","","290.0"
"317","Tanner McKee","PHI","9","QB40","","","290","290.0"
"318","Cairo Santos","CHI","5","K22","","","291","291.0"
"319","Jalen Tolbert","DAL","10","WR102","","304","294","299.0"
"320","Marquez Valdes-Scantling","SEA","8","WR103","","295","","295.0"
"321","Devaughn Vele","DEN","12","WR104","","","295","295.0"
"322","Ben Sinnott","WAS","12","TE40","","296","","296.0"
"323","Jordan Whittington","LAR","8","WR105","","297","","297.0"
"324","Tutu Atwell","LAR","8","WR106","","298","322","310.0"
"325","Taysom Hill","NO","11","TE41","","299","","299.0"
"326","Jermaine Burton","CIN","10","WR107","","","299","299.0"
"327","Christian Watson","GB","5","WR108","","300","","300.0"
"328","Brandin Cooks","NO","11","WR109","","303","326","314.5"
"329","Kenneth Gainwell","PIT","5","RB87","","","305","305.0"
"330","KeAndre Lambert-Smith","LAC","12","WR110","","","306","306.0"
"331","Samaje Perine","CIN","10","RB88","","","308","308.0"
"332","Noah Fant","CIN","10","TE42","","","313","313.0"
"333","Emanuel Wilson","GB","5","RB89","","","315","315.0"
"334","Dameon Pierce","HOU","6","RB90","","","318","318.0"
"335","Kimani Vidal","LAC","12","RB91","","","321","321.0"
"336","Elijah Moore","BUF","7","WR111","","","323","323.0"
"337","Noah Brown","WAS","12","WR112","","","324","324.0"
"338","Phil Mafah","DAL","10","RB92","","","325","325.0"
"339","Atlanta Falcons","DST","5","DST31","","","328","328.0"
"340","Isaiah Davis","NYJ","9","RB93","","","329","329.0"
"341","Jaylin Lane","WAS","12","WR113","","","330","330.0"
""
""